event_id,num_rows,duration_ms,rows_per_10ms,total_piezo_sum,total_piezo_max_sum,p1_sum_share,p2_sum_share,p3_sum_share,p1_peak_share,p2_peak_share,p3_peak_share,dominant_peak_sensor,dominant_sum_sensor,dominant_peak_margin,dominant_sum_margin,max_p1_minus_p2,max_p1_minus_p3,max_p2_minus_p3,sum_p1_minus_p2,sum_p1_minus_p3,sum_p2_minus_p3,p1_over_p2_peak,p1_over_p3_peak,p2_over_p3_peak,p1_over_p2_sum,p1_over_p3_sum,p2_over_p3_sum,overall_peak_value,overall_peak_idx,overall_peak_time_ms,overall_peak_pos_frac,overall_peak_sensor,p1_at_overall_peak,p2_at_overall_peak,p3_at_overall_peak,ax_at_overall_peak,ay_at_overall_peak,az_at_overall_peak,amag_at_overall_peak,p1_max,p1_min,p1_sum,p1_mean,p1_first,p1_last,p1_peak_idx,p1_peak_time_ms,p1_peak_pos_frac,p1_time_after_peak_ms,p1_first_half_sum,p1_second_half_sum,p1_pre_peak_sum,p1_post_peak_sum,p1_rise_slope,p1_fall_slope,p1_rows_above_50pct,p1_rows_above_75pct,p1_rows_above_90pct,p1_peak_concentration,p1_peak_sharpness,p2_max,p2_min,p2_sum,p2_mean,p2_first,p2_last,p2_peak_idx,p2_peak_time_ms,p2_peak_pos_frac,p2_time_after_peak_ms,p2_first_half_sum,p2_second_half_sum,p2_pre_peak_sum,p2_post_peak_sum,p2_rise_slope,p2_fall_slope,p2_rows_above_50pct,p2_rows_above_75pct,p2_rows_above_90pct,p2_peak_concentration,p2_peak_sharpness,p3_max,p3_min,p3_sum,p3_mean,p3_first,p3_last,p3_peak_idx,p3_peak_time_ms,p3_peak_pos_frac,p3_time_after_peak_ms,p3_first_half_sum,p3_second_half_sum,p3_pre_peak_sum,p3_post_peak_sum,p3_rise_slope,p3_fall_slope,p3_rows_above_50pct,p3_rows_above_75pct,p3_rows_above_90pct,p3_peak_concentration,p3_peak_sharpness,peak_idx_diff_p1_p2,peak_idx_diff_p1_p3,peak_idx_diff_p2_p3,ax_abs_max,ay_abs_max,az_abs_max,ax_mean,ay_mean,az_mean,amag_max,amag_mean,amag_sum,amag_peak_idx,amag_peak_time_ms,amag_peak_pos_frac,amag_peak_minus_overall_piezo_peak_idx,label
1,4,23,1.7391304347826086,883,407,0.711211778029445,0.2876557191392978,0.0011325028312570782,0.7051597051597052,0.29238329238329236,0.002457002457002457,1,1,168,374,168,286,118,374,627,253,2.411764705882353,287.0,119.0,2.47244094488189,628.0,254.0,287,1,7,0.3333333333333333,1,287,51,1,-13088,4080,-3620,14179.088264059857,287,0,628,157.0,253,0,1,7,0.3333333333333333,16,540,88,540,375,4.857142857142857,17.9375,2,2,1,1.0,116.5,119,0,254,63.5,0,84,2,16,0.6666666666666666,7,51,203,170,203,7.4375,5.0,2,1,1,1.0,51.5,1,0,1,0.25,0,0,1,7,0.3333333333333333,16,1,0,1,1,0.14285714285714285,0.0625,1,1,1,1.0,1.0,-1,0,1,32767,32767,32768,17231.5,5690.75,-10556.0,56754.686167751825,31549.212199820402,126196.84879928161,0,0,0.0,-1,jab
2,3,15,2.0,611,264,0.9067103109656302,0.09328968903436989,0.0,0.8068181818181818,0.19318181818181818,0.0,1,1,162,497,162,213,51,497,554,57,4.176470588235294,213.0,51.0,9.719298245614034,554.0,57.0,213,1,7,0.5,1,213,6,0,32767,-2356,728,32859.65625200605,213,166,554,184.66666666666666,175,166,1,7,0.5,8,175,379,388,379,5.428571428571429,5.875,3,3,1,1.0,42.5,51,0,57,19.0,0,51,2,15,1.0,0,0,57,57,51,3.4,0.0,1,1,1,1.0,22.5,0,0,0,0.0,0,0,0,0,0.0,15,0,0,0,0,0.0,0.0,3,3,3,0.0,0.0,-1,1,2,32767,12624,14604,32767.0,850.6666666666666,-5225.333333333333,38030.49409355603,34867.156034615386,104601.46810384616,0,0,0.0,-1,jab
3,5,31,1.6129032258064515,798,298,0.7030075187969925,0.29699248120300753,0.0,0.697986577181208,0.30201342281879195,0.0,1,1,118,324,118,208,90,324,561,237,2.311111111111111,208.0,90.0,2.367088607594937,561.0,237.0,208,1,8,0.25,1,208,0,0,32767,-2816,-32768,46425.72529320355,208,0,561,112.2,136,0,1,8,0.25,23,344,217,344,425,9.0,9.043478260869565,3,2,2,0.9500891265597148,45.5,90,0,237,47.4,0,65,3,24,0.75,7,0,237,172,155,3.75,3.5714285714285716,3,2,2,1.0,16.5,0,0,0,0.0,0,0,0,0,0.0,31,0,0,0,0,0.0,0.0,5,5,5,0.0,0.0,-2,1,3,32767,16428,32768,16685.8,-4158.4,-8281.6,47688.63295377631,36126.82200516679,180634.11002583394,0,0,0.0,-1,jab
4,2,8,2.5,327,209,0.7614678899082569,0.23853211009174313,0.0,0.6267942583732058,0.37320574162679426,0.0,1,1,53,171,53,131,78,171,249,78,1.6794871794871795,131.0,78.0,3.1923076923076925,249.0,78.0,131,0,0,0.0,1,131,0,0,32767,-15860,-32768,48979.15590330237,131,118,249,124.5,131,118,0,0,0.0,8,131,118,131,249,0.0,1.625,2,2,2,1.0,6.5,78,0,78,39.0,0,78,1,8,1.0,0,0,78,78,78,9.75,0.0,1,1,1,1.0,39.0,0,0,0,0.0,0,0,0,0,0.0,8,0,0,0,0,0.0,0.0,2,2,2,0.0,0.0,-1,0,1,32768,22576,32768,-0.5,-19218.0,-6408.0,48979.15590330237,46746.59877655046,93493.19755310092,0,0,0.0,0,jab
5,5,31,1.6129032258064515,1473,546,0.7881873727087576,0.2111337406653089,0.0006788866259334691,0.7765567765567766,0.2216117216117216,0.0018315018315018315,1,1,303,850,303,423,120,850,1160,310,3.5041322314049586,424.0,121.0,3.733118971061093,1161.0,311.0,424,1,8,0.25,1,424,0,0,32767,12956,-32768,48117.3154799808,424,0,1161,232.2,336,0,1,8,0.25,23,760,401,760,825,11.0,18.434782608695652,3,3,1,0.9397071490094746,90.5,121,0,311,62.2,0,73,3,23,0.75,8,0,311,238,194,5.260869565217392,6.0,3,2,2,1.0,26.0,1,0,1,0.2,0,0,2,15,0.5,16,0,1,1,1,0.06666666666666667,0.0625,1,1,1,1.0,1.0,-2,-1,1,32768,29124,32768,15424.2,1210.4,-11109.6,54732.30754316869,40104.39281715944,200521.9640857972,0,0,0.0,-1,jab
6,5,30,1.6666666666666665,990,429,0.6454545454545455,0.35454545454545455,0.0,0.6456876456876457,0.3543123543123543,0.0,1,1,125,288,125,277,152,288,639,351,1.8223684210526316,277.0,152.0,1.8205128205128205,639.0,351.0,277,1,7,0.25,1,277,0,0,32767,-6152,-32768,46746.82039454662,277,0,639,127.8,146,0,1,7,0.25,23,423,216,423,493,18.714285714285715,12.043478260869565,3,2,1,1.0,96.0,152,0,351,70.2,0,69,2,15,0.5,15,0,351,152,351,10.133333333333333,5.533333333333333,2,2,1,0.8034188034188035,87.0,0,0,0,0.0,0,0,0,0,0.0,30,0,0,0,0,0.0,0.0,5,5,5,0.0,0.0,-1,1,2,32768,19328,32768,13511.4,-5813.6,-11492.8,47265.024373208566,38010.84608694426,190054.23043472128,0,0,0.0,-1,jab
7,3,16,1.875,515,302,0.9805825242718447,0.019417475728155338,0.0,0.9668874172185431,0.033112582781456956,0.0,1,1,282,495,282,292,10,495,505,10,29.2,292.0,10.0,50.5,505.0,10.0,292,0,0,0.0,1,292,0,0,32767,31608,-27196,53031.72983224288,292,78,505,168.33333333333334,292,78,0,0,0.0,16,292,213,292,505,0.0,13.375,1,1,1,0.8455445544554455,78.5,10,0,10,3.3333333333333335,0,10,2,16,1.0,0,0,10,10,10,0.625,0.0,1,1,1,1.0,5.0,0,0,0,0.0,0,0,0,0,0.0,16,0,0,0,0,0.0,0.0,3,3,3,0.0,0.0,-2,0,2,32767,31608,32768,30187.333333333332,15548.0,-19393.333333333332,53031.72983224288,42565.47191692715,127696.41575078145,0,0,0.0,0,jab
8,5,31,1.6129032258064515,1789,919,0.8311906092789267,0.16880939072107323,0.0,0.8258977149075082,0.17410228509249184,0.0,1,1,599,1185,599,759,160,1185,1487,302,4.74375,759.0,160.0,4.923841059602649,1487.0,302.0,759,1,8,0.25,1,759,0,0,32767,32767,-32768,56754.686167751825,759,0,1487,297.4,140,0,1,8,0.25,23,899,588,899,1347,77.375,33.0,2,2,1,1.0,395.0,160,0,302,60.4,0,88,3,23,0.75,8,0,302,214,248,6.956521739130435,9.0,2,1,1,1.0,89.0,0,0,0,0.0,0,0,0,0,0.0,31,0,0,0,0,0.0,0.0,5,5,5,0.0,0.0,-2,1,3,32767,32767,32768,11090.6,5502.8,-10072.8,56754.686167751825,41086.905727748024,205434.52863874013,1,8,0.25,0,jab
9,6,38,1.5789473684210527,1761,725,0.5315161839863713,0.46621237932992615,0.002271436683702442,0.5682758620689655,0.4262068965517241,0.005517241379310344,1,1,103,115,103,408,305,115,932,817,1.3333333333333333,103.0,77.25,1.1400730816077953,234.0,205.25,412,1,8,0.2,1,412,2,0,32767,-24752,-32768,52536.4598826377,412,0,936,156.0,297,0,1,8,0.2,30,936,0,709,639,14.375,13.733333333333333,3,1,1,1.0,150.0,309,0,821,136.83333333333334,0,63,2,16,0.4,22,311,510,311,819,19.3125,11.181818181818182,3,2,2,0.7247259439707674,166.0,4,0,4,0.6666666666666666,0,0,2,16,0.4,22,4,0,4,4,0.25,0.18181818181818182,1,1,1,1.0,4.0,-1,-1,0,32768,24752,32768,12785.5,-3355.3333333333335,-6416.0,52536.4598826377,36467.35426128909,218804.12556773453,1,8,0.2,0,jab
10,4,24,1.6666666666666665,940,451,0.6117021276595744,0.3882978723404255,0.0,0.6762749445676275,0.3237250554323725,0.0,1,1,159,210,159,305,146,210,575,365,2.089041095890411,305.0,146.0,1.5753424657534247,575.0,365.0,305,0,0,0.0,1,305,0,0,32767,16224,-32768,49098.23101701323,305,0,575,143.75,305,0,0,0,0.0,24,575,0,305,575,0.0,12.708333333333334,2,2,1,1.0,17.5,146,0,365,91.25,0,110,2,15,0.6666666666666666,9,109,256,255,256,9.733333333333333,4.0,3,2,1,1.0,36.5,0,0,0,0.0,0,0,0,0,0.0,24,0,0,0,0,0.0,0.0,4,4,4,0.0,0.0,-2,0,2,32768,24064,32768,11571.5,-8421.0,-11496.0,50422.831822498825,38960.084248084975,155840.3369923399,2,15,0.6666666666666666,2,jab
11,4,23,1.7391304347826086,702,232,0.9031339031339032,0.09686609686609686,0.0,0.7801724137931034,0.21982758620689655,0.0,1,1,130,566,130,181,51,566,634,68,3.549019607843137,181.0,51.0,9.323529411764707,634.0,68.0,181,2,16,0.6666666666666666,1,181,17,0,25172,-12328,3592,28257.948120838497,181,133,634,158.5,153,133,2,16,0.6666666666666666,7,320,314,501,314,1.75,6.857142857142857,4,3,2,0.7586750788643533,31.0,51,0,68,17.0,0,51,3,23,1.0,0,0,68,68,51,2.217391304347826,0.0,1,1,1,1.0,17.0,0,0,0,0.0,0,0,0,0,0.0,23,0,0,0,0,0.0,0.0,4,4,4,0.0,0.0,-1,2,3,32767,17336,32768,27527.5,146.0,-12348.0,47257.16674748921,35628.81470224401,142515.25880897604,1,8,0.3333333333333333,-1,jab
12,4,22,1.8181818181818183,1317,522,0.935459377372817,0.06454062262718299,0.0,0.8754789272030651,0.12452107279693486,0.0,1,1,392,1147,392,457,65,1147,1232,85,7.030769230769231,457.0,65.0,14.494117647058824,1232.0,85.0,457,0,0,0.0,1,457,0,0,32767,32767,-32768,56754.686167751825,457,72,1232,308.0,457,72,0,0,0.0,22,841,391,457,1232,0.0,17.5,3,2,1,0.6826298701298701,36.5,65,0,85,21.25,0,65,3,22,1.0,0,0,85,85,65,2.9545454545454546,0.0,1,1,1,1.0,22.5,0,0,0,0.0,0,0,0,0,0.0,22,0,0,0,0,0.0,0.0,4,4,4,0.0,0.0,-3,0,3,32767,32767,32768,21171.5,14323.5,-15779.0,56754.686167751825,37895.456375566064,151581.82550226426,0,0,0.0,0,jab
13,4,22,1.8181818181818183,1248,407,0.9831730769230769,0.016826923076923076,0.0,0.9484029484029484,0.051597051597051594,0.0,1,1,365,1206,365,386,21,1206,1227,21,18.38095238095238,386.0,21.0,58.42857142857143,1227.0,21.0,386,0,0,0.0,1,386,0,0,32767,28824,-10168,44809.457584309144,386,204,1227,306.75,386,204,0,0,0.0,22,693,534,386,1227,0.0,8.272727272727273,4,3,1,0.5647921760391198,39.5,21,0,21,5.25,0,21,3,22,1.0,0,0,21,21,21,0.9545454545454546,0.0,1,1,1,1.0,10.5,0,0,0,0.0,0,0,0,0,0.0,22,0,0,0,0,0.0,0.0,4,4,4,0.0,0.0,-3,0,3,32767,32767,10168,32767.0,23072.75,-6805.0,47430.0023402909,41494.887023599345,165979.54809439738,1,7,0.3333333333333333,1,jab
14,3,15,2.0,638,432,1.0,0.0,0.0,1.0,0.0,0.0,1,1,432,638,432,432,0,638,638,0,432.0,432.0,0.0,638.0,638.0,0.0,432,0,0,0.0,1,432,0,0,32767,32767,-16596,49221.74107038474,432,61,638,212.66666666666666,432,61,0,0,0.0,15,432,206,432,638,0.0,24.733333333333334,1,1,1,0.9043887147335423,143.5,0,0,0,0.0,0,0,0,0,0.0,15,0,0,0,0,0.0,0.0,3,3,3,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,15,0,0,0,0,0.0,0.0,3,3,3,0.0,0.0,0,0,0,32767,32767,32768,32767.0,21854.333333333332,-16366.666666666666,53914.29540483674,45440.141381575515,136320.42414472654,1,7,0.5,1,jab
15,6,281,0.21352313167259787,1304,486,0.9984662576687117,0.0,0.0015337423312883436,0.9958847736625515,0.0,0.00411522633744856,1,1,482,1300,484,482,-2,1302,1300,-2,484.0,242.0,0.0,1302.0,651.0,0.0,484,1,8,0.2,1,484,0,0,32767,32767,-26468,53365.7905591213,484,63,1302,217.0,450,67,1,8,0.2,273,1091,211,934,852,4.25,1.5274725274725274,2,2,2,0.8379416282642089,180.5,0,0,0,0.0,0,0,0,0,0.0,281,0,0,0,0,0.0,0.0,6,6,6,0.0,0.0,2,0,2,0.3333333333333333,2,0,0,0,0.0,281,2,0,2,2,0.0,0.0071174377224199285,1,1,1,1.0,1.0,1,1,0,32767,32767,26468,11858.833333333334,12417.833333333334,-508.0,53365.7905591213,36283.00968241647,217698.05809449882,1,8,0.2,0,jab
16,2,7,2.8571428571428568,641,385,1.0,0.0,0.0,1.0,0.0,0.0,1,1,385,641,385,385,0,641,641,0,385.0,385.0,0.0,641.0,641.0,0.0,385,0,0,0.0,1,385,0,0,32767,32767,-21052,50897.34061815018,385,256,641,320.5,385,256,0,0,0.0,7,385,256,385,641,0.0,18.428571428571427,2,1,1,1.0,64.5,0,0,0,0.0,0,0,0,0,0.0,7,0,0,0,0,0.0,0.0,2,2,2,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,7,0,0,0,0,0.0,0.0,2,2,2,0.0,0.0,0,0,0,32767,32767,32768,32767.0,32767.0,-26910.0,56754.686167751825,53826.013392951005,107652.02678590201,1,7,1.0,1,jab
17,4,23,1.7391304347826086,839,379,0.9177592371871275,0.08224076281287247,0.0,0.8548812664907651,0.14511873350923482,0.0,1,1,269,701,269,324,55,701,770,69,5.890909090909091,324.0,55.0,11.159420289855072,770.0,69.0,324,0,0,0.0,1,324,0,0,32767,32767,-27644,53958.718609692725,324,105,770,192.5,324,105,0,0,0.0,23,506,264,324,770,0.0,9.521739130434783,2,1,1,0.6571428571428571,71.0,55,0,69,17.25,0,55,3,23,1.0,0,0,69,69,55,2.391304347826087,0.0,1,1,1,1.0,20.5,0,0,0,0.0,0,0,0,0,0.0,23,0,0,0,0,0.0,0.0,4,4,4,0.0,0.0,-3,0,3,32767,32767,28144,27829.25,17088.75,-10325.0,53958.718609692725,38789.87586310889,155159.50345243557,0,0,0.0,0,jab
18,6,278,0.21582733812949642,2195,757,0.9530751708428246,0.04419134396355353,0.002733485193621868,0.8639365918097754,0.12813738441215325,0.007926023778071334,1,1,557,1995,557,648,91,1995,2086,91,6.742268041237113,109.0,16.166666666666668,21.567010309278352,348.6666666666667,16.166666666666668,654,1,8,0.2,1,654,0,0,32767,32767,-32768,56754.686167751825,654,69,2092,348.6666666666667,480,71,1,8,0.2,270,1747,345,1134,1612,21.75,2.1592592592592594,3,2,2,0.8350860420650096,107.5,97,0,97,16.166666666666668,0,0,3,24,0.6,254,0,97,97,97,4.041666666666667,0.38188976377952755,1,1,1,1.0,97.0,6,0,6,1.0,6,0,0,0,0.0,278,6,0,6,6,0.0,0.02158273381294964,1,1,1,1.0,3.0,-2,1,3,32767,32767,32768,8176.166666666667,4641.666666666667,-5181.333333333333,56754.686167751825,37170.71348521838,223024.28091131028,1,8,0.2,0,jab
19,5,30,1.6666666666666665,1466,542,0.8560709413369714,0.1432469304229195,0.0006821282401091405,0.8062730627306273,0.1918819188191882,0.0018450184501845018,1,1,333,1045,333,436,103,1045,1254,209,4.201923076923077,437.0,104.0,5.976190476190476,1255.0,210.0,437,1,7,0.25,1,437,0,0,32767,32767,-32768,56754.686167751825,437,0,1255,251.0,298,0,1,7,0.25,23,735,520,735,957,19.857142857142858,19.0,3,2,2,0.9235059760956176,76.0,104,0,210,42.0,0,66,3,23,0.75,7,0,210,144,170,4.521739130434782,5.428571428571429,2,1,1,1.0,51.0,1,0,1,0.2,1,0,0,0,0.0,30,1,0,1,1,0.0,0.03333333333333333,1,1,1,1.0,0.5,-2,1,3,32767,32767,32768,18180.2,2871.6,-17244.8,56754.686167751825,44993.84063940977,224969.20319704883,1,7,0.25,0,jab
20,4,198,0.20202020202020204,1123,497,0.9100623330365093,0.08993766696349065,0.0,0.7967806841046278,0.20321931589537223,0.0,1,1,295,921,295,396,101,921,1022,101,3.9207920792079207,396.0,101.0,10.118811881188119,1022.0,101.0,396,0,0,0.0,1,396,0,0,32767,13296,-32768,48209.975409659775,396,66,1022,255.5,396,66,0,0,0.0,198,735,287,396,1022,0.0,1.6666666666666667,3,2,1,0.7191780821917808,28.5,101,0,101,25.25,0,0,2,15,0.6666666666666666,183,0,101,101,101,6.733333333333333,0.5519125683060109,1,1,1,1.0,101.0,0,0,0,0.0,0,0,0,0,0.0,198,0,0,0,0,0.0,0.0,4,4,4,0.0,0.0,-2,0,2,32768,32767,32768,2305.5,7971.75,-6417.0,56754.686167751825,44063.04891043384,176252.19564173536,1,8,0.3333333333333333,1,jab
1,12,327,0.3669724770642202,2728,1111,0.9446480938416423,0.05278592375366569,0.002565982404692082,0.9207920792079208,0.07290729072907291,0.0063006300630063005,1,1,942,2433,942,1016,74,2433,2570,137,12.62962962962963,146.14285714285714,11.571428571428571,17.895833333333332,368.14285714285717,20.571428571428573,1023,0,0,0.0,1,1023,0,7,32767,30052,-32768,55231.70119596172,1023,0,2577,214.75,1023,76,0,0,0.0,327,1963,614,1023,2577,0.0,2.8960244648318043,2,2,1,0.6992627085758634,122.0,81,0,144,12.0,0,0,2,29,0.18181818181818182,298,144,0,81,144,2.793103448275862,0.27181208053691275,2,2,1,1.0,49.5,7,0,7,0.5833333333333334,7,0,0,0,0.0,327,7,0,7,7,0.0,0.021406727828746176,1,1,1,1.0,3.5,-2,0,2,32767,32767,32768,-10552.5,-2203.75,12999.916666666666,56754.686167751825,38688.982603082266,464267.79123698716,1,7,0.09090909090909091,1,cross
2,11,332,0.3313253012048193,2851,1175,0.8989828130480533,0.09926341634514206,0.00175377060680463,0.8706382978723404,0.12680851063829787,0.002553191489361702,1,1,874,2280,874,1020,146,2280,2558,278,6.865771812080537,341.0,49.666666666666664,9.056537102473499,512.6,56.6,1023,0,0,0.0,1,1023,0,2,32767,22796,-32768,51643.73852656293,1023,0,2563,233.0,1023,82,0,0,0.0,332,1802,761,1023,2563,0.0,2.8343373493975905,2,1,1,0.6699180647678502,164.5,149,0,283,25.727272727272727,0,0,2,29,0.2,303,283,0,149,283,5.137931034482759,0.49174917491749176,2,2,1,1.0,82.0,3,0,5,0.45454545454545453,2,0,7,309,0.7,23,2,3,5,3,0.003236245954692557,0.13043478260869565,2,1,1,0.6,3.0,-2,-7,-5,32768,32768,32768,-15466.363636363636,-2093.5454545454545,17760.18181818182,56755.263518020955,44844.66516240348,493291.3167864382,3,36,0.3,3,cross
3,11,316,0.3481012658227848,2157,984,0.9202596198423737,0.07417709782104775,0.005563282336578581,0.9105691056910569,0.08231707317073171,0.007113821138211382,1,1,815,1825,815,889,74,1825,1973,148,11.061728395061728,128.0,11.571428571428571,12.40625,165.41666666666666,13.333333333333334,896,1,7,0.1,1,896,6,0,32767,13844,-32768,48363.9788375605,896,0,1985,180.45454545454547,534,88,1,7,0.1,309,1494,491,1430,1451,51.714285714285715,2.614886731391586,2,1,1,0.7204030226700252,629.0,81,0,160,14.545454545454545,0,0,2,25,0.2,291,160,0,87,154,3.24,0.27835051546391754,2,2,2,1.0,41.5,7,0,12,1.0909090909090908,7,0,0,0,0.0,316,7,5,7,12,0.0,0.022151898734177215,1,1,1,0.5833333333333334,3.5,-1,1,2,32768,32432,32768,-7342.818181818182,-7763.272727272727,13018.454545454546,56561.93717510036,39162.851998581544,430791.37198439694,4,57,0.4,3,cross
4,12,282,0.425531914893617,2772,1151,0.6825396825396826,0.31637806637806637,0.0010822510822510823,0.731537793223284,0.26672458731537796,0.0017376194613379669,1,1,535,1015,535,840,305,1015,1889,874,2.742671009771987,421.0,153.5,2.1573546180159635,630.6666666666666,292.3333333333333,842,0,0,0.0,1,842,0,2,32767,18220,-32768,49793.43845327414,842,0,1892,157.66666666666666,842,93,0,0,0.0,282,1421,471,842,1892,0.0,2.6560283687943262,1,1,1,0.6337209302325582,242.5,307,0,877,73.08333333333333,0,10,3,23,0.2727272727272727,259,803,74,341,843,13.347826086956522,1.1467181467181466,3,2,2,0.7206385404789054,144.5,2,0,3,0.25,2,0,0,0,0.0,282,3,0,2,3,0.0,0.0070921985815602835,2,1,1,0.6666666666666666,1.0,-3,0,3,32768,32768,32768,-7585.166666666667,-2082.4166666666665,15190.083333333334,56755.263518020955,39405.449487199345,472865.3938463921,6,47,0.5454545454545454,6,cross
5,14,323,0.43343653250773995,2852,1159,0.620617110799439,0.37762973352033663,0.0017531556802244039,0.6496980155306299,0.3485763589301122,0.001725625539257981,1,1,349,693,349,751,402,693,1765,1072,1.863861386138614,376.5,202.0,1.6434540389972145,354.0,215.4,753,0,0,0.0,1,753,0,0,32767,32767,-32768,56754.686167751825,753,0,1770,126.42857142857143,753,78,0,0,0.0,323,1177,593,753,1770,0.0,2.0897832817337463,1,1,1,0.5830508474576271,237.0,404,0,1077,76.92857142857143,0,0,3,22,0.23076923076923078,301,1008,69,599,882,18.363636363636363,1.3421926910299002,2,1,1,0.7901578458681523,180.5,2,0,5,0.35714285714285715,0,0,3,22,0.23076923076923078,301,2,3,2,5,0.09090909090909091,0.006644518272425249,4,1,1,0.4,2.0,-3,-3,0,32768,32768,32768,-9268.785714285714,-1642.2142857142858,16744.071428571428,56755.263518020955,42409.29475373945,593730.1265523523,6,53,0.46153846153846156,6,cross
6,6,317,0.1892744479495268,1884,1117,0.9193205944798302,0.07802547770700637,0.002653927813163482,0.9158460161145927,0.08146821844225605,0.0026857654431512983,1,1,932,1585,932,1020,88,1585,1727,142,11.241758241758241,341.0,30.333333333333332,11.782312925170068,346.4,29.4,1023,0,0,0.0,1,1023,56,3,32767,17580,-32768,49562.8339887864,1023,0,1732,288.6666666666667,1023,65,0,0,0.0,317,1521,211,1023,1732,0.0,3.0220820189274447,1,1,1,0.878175519630485,262.5,91,0,147,24.5,56,0,2,27,0.4,290,147,0,147,91,1.2962962962962963,0.3137931034482759,2,1,1,0.6190476190476191,91.0,3,0,5,0.8333333333333334,3,0,0,0,0.0,317,4,1,3,5,0.0,0.00946372239747634,1,1,1,0.6,1.5,-2,0,2,32768,32767,32768,-71.0,729.8333333333334,9312.166666666666,56754.686167751825,48202.1838420092,289213.10305205523,1,7,0.2,1,cross
7,5,305,0.1639344262295082,1726,1091,0.9455388180764774,0.05098493626882966,0.0034762456546929316,0.9376718606782768,0.05682859761686526,0.005499541704857928,1,1,961,1544,961,1017,56,1544,1626,82,16.5,170.5,10.333333333333334,18.545454545454547,272.0,14.666666666666666,1023,1,8,0.25,1,1023,15,0,32767,32767,-32768,56754.686167751825,1023,0,1632,326.4,415,103,1,8,0.25,297,1438,194,1438,1217,76.0,3.0976430976430978,1,1,1,0.8811274509803921,815.5,62,0,88,17.6,11,0,2,40,0.5,265,26,62,88,62,1.275,0.2339622641509434,1,1,1,0.875,54.5,6,0,6,1.2,6,0,0,0,0.0,305,6,0,6,6,0.0,0.019672131147540985,1,1,1,1.0,3.0,-1,1,2,32768,32768,32768,-2784.4,-6625.0,9566.2,56755.263518020955,43140.2027897715,215701.0139488575,2,40,0.5,1,cross
8,7,312,0.22435897435897437,1707,1113,0.8980667838312829,0.10017574692442882,0.0017574692442882249,0.9191374663072777,0.07816711590296496,0.0026954177897574125,1,1,936,1362,936,1020,84,1362,1530,168,11.758620689655173,341.0,29.0,8.964912280701755,511.0,57.0,1023,1,8,0.16666666666666666,1,1023,0,0,32767,32767,-32768,56754.686167751825,1023,0,1533,219.0,204,89,1,8,0.16666666666666666,304,1349,184,1227,1329,102.375,3.0723684210526314,1,1,1,0.8799739073711677,860.0,87,0,171,24.428571428571427,0,0,3,29,0.5,283,0,171,87,171,3.0,0.30742049469964666,2,2,2,1.0,45.0,3,0,3,0.42857142857142855,3,0,0,0,0.0,312,3,0,3,3,0.0,0.009615384615384616,1,1,1,1.0,1.5,-2,1,3,32767,32767,32768,10407.0,6511.714285714285,3400.4285714285716,56754.686167751825,41600.29338473865,291202.05369317054,1,8,0.16666666666666666,0,cross
9,11,336,0.3273809523809524,2706,1097,0.8861788617886179,0.1090169992609017,0.004804138950480414,0.8386508659981768,0.15132178669097537,0.010027347310847767,1,1,754,2103,754,909,155,2103,2385,282,5.542168674698795,83.63636363636364,15.090909090909092,8.128813559322033,184.46153846153845,22.692307692307693,920,1,7,0.1,1,920,0,0,32767,32767,-32768,56754.686167751825,920,0,2398,218.0,874,95,1,7,0.1,329,1858,540,1794,1524,6.571428571428571,2.507598784194529,2,2,2,0.7481234361968306,483.0,166,0,295,26.818181818181817,0,3,2,29,0.2,307,277,18,166,295,5.724137931034483,0.5309446254071661,2,1,1,0.9389830508474576,110.5,11,0,13,1.1818181818181819,11,0,0,0,0.0,336,13,0,11,13,0.0,0.03273809523809524,1,1,1,0.8461538461538461,5.5,-1,1,2,32768,32768,32768,-12294.0,-6161.545454545455,16674.363636363636,56755.263518020955,43533.783433920034,478871.61777312035,4,59,0.4,3,cross
10,11,329,0.3343465045592705,2236,1092,0.8971377459749553,0.1001788908765653,0.0026833631484794273,0.8745421245421245,0.11996336996336997,0.005494505494505495,1,1,824,1782,824,949,125,1782,2000,218,7.290076335877862,159.16666666666666,21.833333333333332,8.955357142857142,334.3333333333333,37.333333333333336,955,1,7,0.1,1,955,0,0,32767,32767,-32768,56754.686167751825,955,0,2006,182.36363636363637,580,64,1,7,0.1,322,1600,406,1535,1426,53.57142857142857,2.767080745341615,2,1,1,0.7652043868394816,665.0,131,0,224,20.363636363636363,0,0,2,29,0.2,300,223,1,131,224,4.517241379310345,0.43666666666666665,2,1,1,0.9955357142857143,85.0,6,0,6,0.5454545454545454,6,0,0,0,0.0,329,6,0,6,6,0.0,0.0182370820668693,1,1,1,1.0,3.0,-1,1,2,32768,32768,32768,-8504.181818181818,-5971.0,15673.636363636364,56755.263518020955,40188.50781170162,442073.58592871774,4,59,0.4,3,cross
