event_id,num_rows,duration_ms,rows_per_10ms,total_piezo_sum,total_piezo_max_sum,p1_sum_share,p2_sum_share,p3_sum_share,p1_peak_share,p2_peak_share,p3_peak_share,dominant_peak_sensor,dominant_sum_sensor,dominant_peak_margin,dominant_sum_margin,max_p1_minus_p2,max_p1_minus_p3,max_p2_minus_p3,sum_p1_minus_p2,sum_p1_minus_p3,sum_p2_minus_p3,p1_over_p2_peak,p1_over_p3_peak,p2_over_p3_peak,p1_over_p2_sum,p1_over_p3_sum,p2_over_p3_sum,overall_peak_value,overall_peak_idx,overall_peak_time_ms,overall_peak_pos_frac,overall_peak_sensor,p1_at_overall_peak,p2_at_overall_peak,p3_at_overall_peak,ax_at_overall_peak,ay_at_overall_peak,az_at_overall_peak,amag_at_overall_peak,p1_max,p1_min,p1_sum,p1_mean,p1_first,p1_last,p1_peak_idx,p1_peak_time_ms,p1_peak_pos_frac,p1_time_after_peak_ms,p1_first_half_sum,p1_second_half_sum,p1_pre_peak_sum,p1_post_peak_sum,p1_rise_slope,p1_fall_slope,p1_rows_above_50pct,p1_rows_above_75pct,p1_rows_above_90pct,p1_peak_concentration,p1_peak_sharpness,p2_max,p2_min,p2_sum,p2_mean,p2_first,p2_last,p2_peak_idx,p2_peak_time_ms,p2_peak_pos_frac,p2_time_after_peak_ms,p2_first_half_sum,p2_second_half_sum,p2_pre_peak_sum,p2_post_peak_sum,p2_rise_slope,p2_fall_slope,p2_rows_above_50pct,p2_rows_above_75pct,p2_rows_above_90pct,p2_peak_concentration,p2_peak_sharpness,p3_max,p3_min,p3_sum,p3_mean,p3_first,p3_last,p3_peak_idx,p3_peak_time_ms,p3_peak_pos_frac,p3_time_after_peak_ms,p3_first_half_sum,p3_second_half_sum,p3_pre_peak_sum,p3_post_peak_sum,p3_rise_slope,p3_fall_slope,p3_rows_above_50pct,p3_rows_above_75pct,p3_rows_above_90pct,p3_peak_concentration,p3_peak_sharpness,peak_idx_diff_p1_p2,peak_idx_diff_p1_p3,peak_idx_diff_p2_p3,ax_abs_max,ay_abs_max,az_abs_max,ax_mean,ay_mean,az_mean,amag_max,amag_mean,amag_sum,amag_peak_idx,amag_peak_time_ms,amag_peak_pos_frac,amag_peak_minus_overall_piezo_peak_idx,label
5,16,149,1.0738255033557047,7041,1420,0.21772475500639113,0.7692089191876154,0.013066325805993467,0.2556338028169014,0.7147887323943662,0.029577464788732393,2,2,652,3883,-652,321,973,-3883,1441,5324,0.35763546798029555,8.642857142857142,24.166666666666668,0.2830502215657312,16.66304347826087,58.869565217391305,1015,1,7,0.06666666666666667,2,363,1015,13,32767,-32768,-32768,56755.263518020955,363,0,1533,95.8125,151,0,1,7,0.06666666666666667,142,1165,368,514,1382,30.285714285714285,2.556338028169014,4,3,1,0.5205479452054794,145.5,1015,0,5416,338.5,0,100,1,7,0.06666666666666667,142,4580,836,1015,5416,145.0,6.443661971830986,5,2,1,0.3500738552437223,574.5,42,0,92,5.75,0,0,3,23,0.2,126,86,6,55,79,1.826086956521739,0.3333333333333333,1,1,1,0.5652173913043478,37.0,0,-2,-2,32768,32768,32768,238.3125,2636.375,12961.375,56755.263518020955,35284.31510996616,564549.0417594586,1,7,0.06666666666666667,0,left_hook
6,24,206,1.1650485436893203,4330,664,0.38060046189376445,0.605080831408776,0.014318706697459584,0.3855421686746988,0.5978915662650602,0.016566265060240965,2,2,141,972,-141,245,386,-972,1586,2558,0.6448362720403022,23.272727272727273,36.09090909090909,0.6290076335877862,26.580645161290324,42.25806451612903,397,1,7,0.043478260869565216,2,136,397,5,32767,-32768,-32768,56755.263518020955,256,0,1648,68.66666666666667,192,64,2,23,0.08695652173913043,183,1047,601,584,1320,2.782608695652174,1.0491803278688525,5,2,1,0.27851941747572817,154.5,397,0,2620,109.16666666666667,71,0,1,7,0.043478260869565216,199,2062,558,468,2549,46.57142857142857,1.9949748743718594,6,2,1,0.216793893129771,311.5,11,0,62,2.5833333333333335,7,0,3,31,0.13043478260869565,175,62,0,23,50,0.12903225806451613,0.06285714285714286,7,2,1,0.1774193548387097,11.0,1,-1,-2,32768,32768,32768,-6236.916666666667,9467.958333333334,17362.5,56755.263518020955,32048.950355632507,769174.8085351802,1,7,0.043478260869565216,0,left_hook
7,21,191,1.099476439790576,6800,1414,0.19176470588235295,0.7926470588235294,0.015588235294117648,0.25884016973125884,0.7234794908062234,0.01768033946251768,2,2,657,4086,-657,341,998,-4086,1198,5284,0.35777126099706746,14.64,40.92,0.24192949907235622,12.30188679245283,50.84905660377358,1023,1,9,0.05,2,366,1023,23,32767,-32768,17932,49688.77878354428,366,0,1304,62.095238095238095,34,77,1,9,0.05,182,1044,260,400,1270,36.888888888888886,1.5879120879120878,1,1,1,0.3067484662576687,349.0,1023,0,5390,256.6666666666667,132,0,1,9,0.05,182,3858,1532,1155,5258,99.0,5.6208791208791204,3,2,1,0.38181818181818183,505.5,25,0,106,5.0476190476190474,0,0,6,48,0.3,143,95,11,70,61,0.5208333333333334,0.17482517482517482,3,2,2,0.49056603773584906,11.5,0,-5,-5,32768,32768,32768,-6093.238095238095,13840.952380952382,13828.761904761905,56754.686167751825,32686.401043372483,686414.4219108222,6,48,0.3,5,left_hook
8,20,180,1.1111111111111112,7545,1279,0.14499668654738238,0.8389662027833003,0.016037110669317428,0.17591868647380765,0.7998436278342455,0.024237685691946835,2,2,798,5236,-798,194,992,-5236,973,6209,0.21994134897360704,7.258064516129032,33.0,0.17282780410742496,9.041322314049587,52.31404958677686,1023,0,0,0.0,2,225,1023,31,32767,-32768,32767,56754.686167751825,225,0,1094,54.7,225,62,0,0,0.0,180,961,133,225,1094,0.0,0.9055555555555556,2,2,1,0.3802559414990859,17.0,1023,0,6330,316.5,1023,0,0,0,0.0,180,5045,1285,1023,6330,0.0,5.683333333333334,4,4,3,0.3232227488151659,0.0,31,0,121,6.05,31,0,0,0,0.0,180,112,9,31,121,0.0,0.17222222222222222,3,3,1,0.256198347107438,15.5,0,0,0,32768,32768,32768,-300.0,10460.4,14441.8,56755.263518020955,33122.03634743191,662440.7269486382,1,8,0.05263157894736842,1,left_hook
9,22,194,1.134020618556701,6566,1444,0.2538836430094426,0.7244897959183674,0.02162656107219007,0.25,0.7084487534626038,0.04155124653739612,2,2,662,3090,-662,301,963,-3090,1525,4615,0.35288367546432065,6.016666666666667,17.05,0.35043094387218837,11.73943661971831,33.5,1023,0,0,0.0,2,80,1023,60,9244,-5116,26904,28904.15554898638,361,0,1667,75.77272727272727,80,79,1,9,0.047619047619047616,185,1277,390,441,1587,31.22222222222222,1.5243243243243243,2,1,1,0.26454709058188364,321.0,1023,0,4757,216.22727272727272,1023,0,0,0,0.0,194,4020,737,1023,4757,0.0,5.27319587628866,4,2,1,0.37754887534160186,125.0,60,0,142,6.454545454545454,60,0,0,0,0.0,194,142,0,60,142,0.0,0.30927835051546393,2,1,1,0.45774647887323944,27.5,1,1,0,32768,32768,32768,-3362.8636363636365,13334.227272727272,10738.727272727272,56755.84086241697,32425.329327964642,713357.2452152221,2,17,0.09523809523809523,2,left_hook
10,27,343,0.7871720116618076,11787,1409,0.11224230083990837,0.8704504963094936,0.017307202850598117,0.24556422995031937,0.7260468417317246,0.028388928317955996,2,2,677,8937,-677,306,983,-8937,1119,10056,0.33822091886608013,8.65,25.575,0.12894736842105264,6.485294117647059,50.294117647058826,1023,0,0,0.0,2,32,1023,40,7772,32767,29380,44690.76720084362,346,0,1323,49.0,32,0,1,8,0.038461538461538464,335,1041,282,378,1291,39.25,1.0328358208955224,1,1,1,0.3726379440665155,272.5,1023,0,10260,380.0,1023,64,0,0,0.0,343,9033,1227,1023,10260,0.0,2.795918367346939,9,8,5,0.18333333333333332,82.5,40,0,204,7.555555555555555,40,0,0,0,0.0,343,197,7,40,204,0.0,0.11661807580174927,4,3,3,0.28921568627450983,10.5,1,1,0,32768,32768,32768,-327.037037037037,11148.25925925926,10253.555555555555,56755.84086241697,28487.869414241115,769172.4741845101,2,16,0.07692307692307693,2,left_hook
11,22,191,1.1518324607329842,6950,1492,0.17611510791366908,0.8027338129496403,0.021151079136690648,0.27882037533512066,0.685656836461126,0.035522788203753354,2,2,607,4355,-607,363,970,-4355,1077,5432,0.4066471163245357,7.849056603773585,19.30188679245283,0.21939415665889944,8.326530612244898,37.95238095238095,1023,1,7,0.047619047619047616,2,416,1023,19,32767,-32768,-29264,54806.932125416395,416,0,1224,55.63636363636363,59,68,1,7,0.047619047619047616,184,920,304,475,1165,51.0,1.891304347826087,1,1,1,0.3880718954248366,386.5,1023,0,5579,253.5909090909091,770,0,1,7,0.047619047619047616,184,4697,882,1793,4809,36.142857142857146,5.559782608695652,5,3,2,0.504749955189102,126.5,53,0,147,6.681818181818182,53,0,0,0,0.0,191,144,3,53,147,0.0,0.2774869109947644,1,1,1,0.4897959183673469,17.0,0,1,1,32768,32768,32767,-2947.7272727272725,14097.045454545454,10983.545454545454,54806.932125416395,30406.101936322182,668934.242599088,1,7,0.047619047619047616,0,left_hook
12,17,176,0.9659090909090908,4542,1004,0.25935711140466755,0.7324966974900925,0.008146191105239982,0.38147410358565736,0.6075697211155379,0.010956175298804782,2,2,227,2149,-227,372,599,-2149,1141,3290,0.6278688524590164,34.81818181818182,55.45454545454545,0.3540727382025849,31.83783783783784,89.91891891891892,610,0,0,0.0,2,383,610,8,32767,-32768,-32768,56755.263518020955,383,0,1178,69.29411764705883,383,62,0,0,0.0,176,880,298,383,1178,0.0,1.8238636363636365,1,1,1,0.399830220713073,147.5,610,0,3327,195.7058823529412,610,0,0,0,0.0,176,2386,941,610,3327,0.0,3.465909090909091,4,2,2,0.35858130447850917,13.5,11,0,37,2.176470588235294,8,0,9,70,0.5625,106,22,15,33,15,0.04285714285714286,0.10377358490566038,3,2,2,0.35135135135135137,10.0,0,-9,-9,32768,32768,32768,-3204.823529411765,8225.176470588236,15666.529411764706,56755.263518020955,31465.1731392346,534907.9433669882,0,0,0.0,0,left_hook
13,21,186,1.129032258064516,6925,1221,0.22859205776173286,0.7605776173285198,0.010830324909747292,0.3144963144963145,0.6691236691236692,0.01638001638001638,2,2,433,3684,-433,364,797,-3684,1508,5192,0.4700122399020808,19.2,40.85,0.3005505980634137,21.106666666666666,70.22666666666667,817,0,0,0.0,2,384,817,10,32767,-32768,-32768,56755.263518020955,384,0,1583,75.38095238095238,384,64,0,0,0.0,186,1247,336,384,1583,0.0,1.7204301075268817,1,1,1,0.32785849652558435,124.5,817,0,5267,250.8095238095238,817,0,0,0,0.0,186,4351,916,817,5267,0.0,4.39247311827957,6,3,2,0.2878298841845453,59.0,20,0,75,3.5714285714285716,10,3,3,24,0.15,162,66,9,32,63,0.4166666666666667,0.10493827160493827,3,1,1,0.37333333333333335,16.0,0,-3,-3,32768,32768,32768,-3350.190476190476,10917.666666666666,12511.333333333334,56755.263518020955,32156.25147342106,675281.2809418422,0,0,0.0,0,left_hook
14,20,190,1.0526315789473684,8726,1460,0.1417602567041027,0.8407059362823746,0.017533807013522806,0.2650684931506849,0.7006849315068493,0.03424657534246575,2,2,636,6099,-636,337,973,-6099,1084,7183,0.3782991202346041,7.74,20.46,0.1686205016357688,8.084967320261438,47.947712418300654,1023,0,0,0.0,2,55,1023,50,12864,-12328,23352,29373.08264380843,387,0,1237,61.85,55,68,1,8,0.05263157894736842,182,909,328,442,1182,41.5,1.7527472527472527,1,1,1,0.35731608730800324,359.5,1023,0,7336,366.8,1023,0,0,0,0.0,190,6413,923,1023,7336,0.0,5.38421052631579,7,4,2,0.27889858233369685,0.0,50,0,153,7.65,50,0,0,0,0.0,190,139,14,50,153,0.0,0.2631578947368421,2,1,1,0.35947712418300654,22.5,1,1,0,32768,32768,32768,-2731.55,12680.35,13563.5,56755.263518020955,34078.737667184134,681574.7533436827,1,8,0.05263157894736842,1,left_hook
